,Step,Value,3p-collision-1 - success_rate__MIN,3p-collision-1 - success_rate__MAX
0,120000,0.0,0.0,0.0
1,240000,0.0,0.0,0.0
2,360000,0.0,0.0,0.0
3,480000,0.0,0.0,0.0
4,600000,0.0,0.0,0.0
5,720000,0.0,0.0,0.0
6,840000,0.0,0.0,0.0
7,960000,0.0,0.0,0.0
8,1080000,0.0,0.0,0.0
9,1200000,0.0,0.0,0.0
10,1320000,0.0,0.0,0.0
11,1440000,0.0,0.0,0.0
12,1560000,0.0089285718277096,0.0089285718277096,0.0089285718277096
13,1680000,0.0089285718277096,0.0089285718277096,0.0089285718277096
14,1800000,0.0,0.0,0.0
15,1920000,0.0089285718277096,0.0089285718277096,0.0089285718277096
16,2040000,0.0,0.0,0.0
17,2160000,0.0089285718277096,0.0089285718277096,0.0089285718277096
18,2280000,0.0,0.0,0.0
19,2400000,0.0,0.0,0.0
20,2520000,0.0178571436554193,0.0178571436554193,0.0178571436554193
21,2640000,0.0,0.0,0.0
22,2760000,0.0,0.0,0.0
23,2880000,0.0089285718277096,0.0089285718277096,0.0089285718277096
24,3000000,0.050000000745058,0.050000000745058,0.050000000745058
25,3120000,0.0,0.0,0.0
26,3240000,0.0265486724674701,0.0265486724674701,0.0265486724674701
27,3360000,0.0089285718277096,0.0089285718277096,0.0089285718277096
28,3480000,0.0399999991059303,0.0399999991059303,0.0399999991059303
29,3600000,0.050000000745058,0.050000000745058,0.050000000745058
30,3720000,0.050000000745058,0.050000000745058,0.050000000745058
31,3840000,0.0900000035762786,0.0900000035762786,0.0900000035762786
32,3960000,0.0599999986588954,0.0599999986588954,0.0599999986588954
33,4080000,0.0799999982118606,0.0799999982118606,0.0799999982118606
34,4200000,0.1188118830323219,0.1188118830323219,0.1188118830323219
35,4320000,0.1199999973177909,0.1199999973177909,0.1199999973177909
36,4440000,0.1584158390760421,0.1584158390760421,0.1584158390760421
37,4560000,0.1500000059604644,0.1500000059604644,0.1500000059604644
38,4680000,0.1584158390760421,0.1584158390760421,0.1584158390760421
39,4800000,0.2000000029802322,0.2000000029802322,0.2000000029802322
40,4920000,0.25,0.25,0.25
41,5040000,0.3600000143051147,0.3600000143051147,0.3600000143051147
42,5160000,0.4300000071525574,0.4300000071525574,0.4300000071525574
43,5280000,0.4000000059604645,0.4000000059604645,0.4000000059604645
44,5400000,0.5,0.5,0.5
45,5520000,0.4799999892711639,0.4799999892711639,0.4799999892711639
46,5640000,0.550000011920929,0.550000011920929,0.550000011920929
47,5760000,0.5199999809265137,0.5199999809265137,0.5199999809265137
48,5880000,0.5199999809265137,0.5199999809265137,0.5199999809265137
49,6000000,0.5799999833106995,0.5799999833106995,0.5799999833106995
50,6120000,0.6299999952316284,0.6299999952316284,0.6299999952316284
51,6240000,0.6601941585540771,0.6601941585540771,0.6601941585540771
52,6360000,0.699999988079071,0.699999988079071,0.699999988079071
53,6480000,0.550000011920929,0.550000011920929,0.550000011920929
54,6600000,0.7029703259468079,0.7029703259468079,0.7029703259468079
55,6720000,0.7300000190734863,0.7300000190734863,0.7300000190734863
56,6840000,0.5699999928474426,0.5699999928474426,0.5699999928474426
57,6960000,0.6800000071525574,0.6800000071525574,0.6800000071525574
58,7080000,0.6930692791938782,0.6930692791938782,0.6930692791938782
59,7200000,0.6899999976158142,0.6899999976158142,0.6899999976158142
60,7320000,0.7425742745399475,0.7425742745399475,0.7425742745399475
61,7440000,0.7599999904632568,0.7599999904632568,0.7599999904632568
62,7560000,0.7300000190734863,0.7300000190734863,0.7300000190734863
63,7680000,0.800000011920929,0.800000011920929,0.800000011920929
64,7800000,0.7699999809265137,0.7699999809265137,0.7699999809265137
65,7920000,0.7599999904632568,0.7599999904632568,0.7599999904632568
66,8040000,0.699999988079071,0.699999988079071,0.699999988079071
67,8160000,0.75,0.75,0.75
68,8280000,0.8199999928474426,0.8199999928474426,0.8199999928474426
69,8400000,0.8999999761581421,0.8999999761581421,0.8999999761581421
70,8520000,0.8399999737739563,0.8399999737739563,0.8399999737739563
71,8640000,0.8999999761581421,0.8999999761581421,0.8999999761581421
72,8760000,0.8299999833106995,0.8299999833106995,0.8299999833106995
73,8880000,0.8500000238418579,0.8500000238418579,0.8500000238418579
74,9000000,0.8712871074676514,0.8712871074676514,0.8712871074676514
75,9120000,0.8899999856948853,0.8899999856948853,0.8899999856948853
76,9240000,0.8514851331710815,0.8514851331710815,0.8514851331710815
77,9360000,0.8514851331710815,0.8514851331710815,0.8514851331710815
78,9480000,0.8799999952316284,0.8799999952316284,0.8799999952316284
79,9600000,0.8799999952316284,0.8799999952316284,0.8799999952316284
80,9720000,0.9300000071525574,0.9300000071525574,0.9300000071525574
81,9840000,0.8899999856948853,0.8899999856948853,0.8899999856948853
82,9960000,0.8799999952316284,0.8799999952316284,0.8799999952316284
83,10080000,0.9100000262260436,0.9100000262260436,0.9100000262260436
