Step,Value,1tower - success_rate__MIN,1tower - success_rate__MAX
40000,0,0,0
80000,0,0,0
120000,0,0,0
160000,0.017857143,0.017857143,0.017857143
200000,0,0,0
240000,0,0,0
280000,0,0,0
320000,0,0,0
360000,0,0,0
400000,0.008928571,0.008928571,0.008928571
440000,0,0,0
480000,0,0,0
520000,0.017857143,0.017857143,0.017857143
560000,0.044642857,0.044642857,0.044642857
600000,0.107142857,0.107142857,0.107142857
640000,0.053571429,0.053571429,0.053571429
680000,0.089285714,0.089285714,0.089285714
720000,0.089285714,0.089285714,0.089285714
760000,0.053571429,0.053571429,0.053571429
800000,0.1875,0.1875,0.1875
840000,0.1875,0.1875,0.1875
880000,0.232142857,0.232142857,0.232142857
920000,0.3125,0.3125,0.3125
960000,0.303571429,0.303571429,0.303571429
1000000,0.535714286,0.535714286,0.535714286
1040000,0.633928571,0.633928571,0.633928571
1080000,0.625,0.625,0.625
1120000,0.651785714,0.651785714,0.651785714
1160000,0.794642857,0.794642857,0.794642857
1200000,0.741071429,0.741071429,0.741071429
1240000,0.821428571,0.821428571,0.821428571
1280000,0.883928571,0.883928571,0.883928571
1320000,0.883928571,0.883928571,0.883928571
1360000,0.955357143,0.955357143,0.955357143
1400000,0.946428571,0.946428571,0.946428571
1440000,0.982142857,0.982142857,0.982142857
1480000,0.991071429,0.991071429,0.991071429
1520000,0.991071429,0.991071429,0.991071429
1560000,0.982142857,0.982142857,0.982142857
1600000,1,1,1
